u_in,t_wall,tpms_type,cell_size,perm,dp_per_L,QoI_eps_star,QoI_U_UI,QoI_SR_UI,QoI_P_UI,QoI_T_uniformity,QoI_G_SI
0.5,1.7,G,10,6.44E-09,4936.428333,1411.498734,0.231428522,0.293173141,0.373895015,0.004158239,0.404410942
0.7,1.7,G,10,6.44E-09,9274.393667,1340.869516,0.228157078,0.289434108,0.37452767,0.004158239,0.405637977
1,1.7,G,10,6.44E-09,18345.78333,1305.32527,0.226520928,0.289357793,0.374940026,0.004158239,0.405381227
1.4,1.7,G,10,6.44E-09,35126.10333,1287.08306,0.226034667,0.291823808,0.375319916,0.004158239,0.405112968
1.9,1.7,G,10,6.44E-09,63616.07667,1277.42626,0.226002171,0.296027141,0.375546094,0.004158239,0.404993833
0.5,2.5,G,15,1.30E-08,2664.266667,1123.864774,0.226531509,0.263602847,0.376727166,0.00331165,0.36949268
0.7,2.5,G,15,1.30E-08,5064.171111,1095.404938,0.223372171,0.260383438,0.377496007,0.00331165,0.370984259
1,2.5,G,15,1.30E-08,10081.44,1083.643564,0.221340934,0.258665669,0.377859837,0.00331165,0.371933862
1.4,2.5,G,15,1.30E-08,19395.97778,1079.601978,0.22012511,0.257709174,0.378022101,0.00331165,0.372942726
1.9,2.5,G,15,1.30E-08,35230.62222,1078.538043,0.219440036,0.257130055,0.37813878,0.00331165,0.373742873
0.5,3.4,G,20,2.44E-08,2080.855,1246.884,0.233345109,0.230725687,0.366334897,0.002678507,0.355532513
0.7,3.4,G,20,2.44E-08,3972.628333,1226.264577,0.233439356,0.23070488,0.370459198,0.002678507,0.356065572
1,3.4,G,20,2.44E-08,7931.395,1216.55,0.233442839,0.230717223,0.370490112,0.002678507,0.356094309
1.4,3.4,G,20,2.44E-08,15293.58333,1212.076348,0.233441348,0.230718009,0.370481122,0.002678507,0.3560934
1.9,3.4,G,20,2.44E-08,27827.66667,1209.425572,0.233432385,0.230729307,0.370495808,0.002678507,0.356114327
0.5,4.2,G,25,4.01E-08,1568.881333,1088.952454,0.209986855,0.232061984,0.349279516,0.002181338,0.34725751
0.7,4.2,G,25,4.01E-08,3009.094667,1078.507414,0.209167624,0.231920938,0.348306286,0.002181338,0.344966959
1,4.2,G,25,4.01E-08,6029.874667,1072.744992,0.208745249,0.231353935,0.347817433,0.002181338,0.344207472
1.4,4.2,G,25,4.01E-08,11655.81733,1069.660894,0.208757714,0.230841191,0.347535195,0.002181338,0.34391614
1.9,4.2,G,25,4.01E-08,21244.26667,1067.604891,0.208847318,0.230504077,0.347333034,0.002181338,0.343771656
0.5,5,G,30,1.46E-08,1300.252222,1110.346776,0.196958203,0.311573114,0.400050356,0.006693565,0.398956837
0.7,5,G,30,1.46E-08,2499.948889,1102.580469,0.196406968,0.308228051,0.400058446,0.006693565,0.400046928
1,5,G,30,1.46E-08,5019.107778,1097.552575,0.196124305,0.305910214,0.399999486,0.006693565,0.401664023
1.4,5,G,30,1.46E-08,9714.155556,1094.405816,0.19606559,0.304329579,0.399947351,0.006693565,0.403045788
1.9,5,G,30,1.46E-08,17721.07778,1092.263906,0.196293619,0.303216676,0.399875344,0.006693565,0.403843932
0.5,1.35,G,10,2.84E-08,3117.949,859.5796608,0.178366118,0.214697543,0.365078897,0.005084324,0.333489148
0.7,1.35,G,10,2.84E-08,5874.054667,808.5978437,0.17746239,0.213843903,0.364939455,0.005084324,0.333635678
1,1.35,G,10,2.84E-08,11678.478,790.829184,0.177050794,0.213434247,0.364699824,0.005084324,0.33399044
1.4,1.35,G,10,2.84E-08,22491.07333,785.3322055,0.176893969,0.213273863,0.364456095,0.005084324,0.334356201
1.9,1.35,G,10,2.84E-08,40915.34667,783.9227934,0.176800242,0.213161234,0.364246226,0.005084324,0.334627539
0.5,2,G,15,5.04E-08,1848.502222,801.558048,0.233345109,0.230725687,0.366334897,0.002678507,0.355532513
0.7,2,G,15,5.04E-08,3536.771778,782.2051895,0.233439356,0.23070488,0.370459198,0.002678507,0.356065572
1,2,G,15,5.04E-08,7084.986667,775.00912,0.233442839,0.230717223,0.370490112,0.002678507,0.356094309
1.4,2,G,15,5.04E-08,13699.85556,772.1798324,0.233441348,0.230718009,0.370481122,0.002678507,0.3560934
1.9,2,G,15,5.04E-08,24984.93333,770.805441,0.233432385,0.230729307,0.370495808,0.002678507,0.356114327
0.5,2.7,G,20,8.22E-08,1401.953333,1103.608272,0.176022259,0.18303314,0.357844054,0.00359022,0.312926566
0.7,2.7,G,20,8.22E-08,2695.178333,1091.998264,0.17571074,0.182319565,0.357354582,0.00359022,0.312755542
1,2.7,G,20,8.22E-08,5414.033333,1085.79001,0.175795676,0.181869371,0.357113875,0.00359022,0.31289259
1.4,2.7,G,20,8.22E-08,10488.89333,1082.607334,0.175940705,0.181569173,0.356889032,0.00359022,0.313010229
1.9,2.7,G,20,8.22E-08,19153.61667,1080.662598,0.176092079,0.181445416,0.356722862,0.00359022,0.313100497
0.5,3.3,G,25,2.12E-08,1033.854933,767.3422944,0.182679228,0.25059867,0.380558071,0.008837725,0.376363716
0.7,3.3,G,25,2.12E-08,1992.050667,761.8216443,0.182050262,0.249172655,0.380756338,0.008837725,0.376849717
1,3.3,G,25,2.12E-08,4009.061333,759.064548,0.18178081,0.247892694,0.380734513,0.008837725,0.376865825
1.4,3.3,G,25,2.12E-08,7776.086667,757.5121137,0.181824175,0.246880845,0.380588301,0.008837725,0.376380762
1.9,3.3,G,25,2.12E-08,14210.88933,756.5811226,0.181919708,0.246138361,0.380391122,0.008837725,0.375719745
0.5,4,G,30,4.34E-08,865.8647778,771.3901728,0.192759682,0.230924704,0.385754654,0.007071104,0.35470758
0.7,4,G,30,4.34E-08,1671.63,767.2000233,0.191657399,0.229575171,0.385666015,0.007071104,0.354953701
1,4,G,30,4.34E-08,3369.031111,765.073884,0.190994609,0.22886711,0.385509924,0.007071104,0.35487819
1.4,4,G,30,4.34E-08,6540.995556,763.7104373,0.190678533,0.22896309,0.385315863,0.007071104,0.35463001
1.9,4,G,30,4.34E-08,11962.84222,763.0219682,0.190543882,0.229221799,0.385123454,0.007071104,0.354362616
0.5,1,G,10,7.93E-08,2038.250667,826.3895224,0.168845781,0.178758733,0.351451337,0.005407761,0.334746286
0.7,1,G,10,7.93E-08,3861.946667,792.4959327,0.168656016,0.178982497,0.351294605,0.005407761,0.334607477
1,1,G,10,7.93E-08,7712.223333,783.333981,0.1685935,0.179018837,0.351174518,0.005407761,0.334491878
1.4,1,G,10,7.93E-08,14905.22667,781.5399876,0.16854817,0.178975856,0.351083348,0.005407761,0.334427069
1.9,1,G,10,7.93E-08,27190.3,781.2107202,0.168509122,0.178924615,0.351012436,0.005407761,0.334400675
0.5,1.5,G,15,1.29E-07,1310.105289,624.8396224,0.171126744,0.213654222,0.372431552,0.004761591,0.317682357
0.7,1.5,G,15,1.29E-07,2516.503111,613.5984032,0.170777685,0.216174654,0.372392428,0.004761591,0.317917654
1,1.5,G,15,1.29E-07,5059.863333,609.7709174,0.170560931,0.217864827,0.37232059,0.004761591,0.318103462
1.4,1.5,G,15,1.29E-07,9812.826667,608.1273262,0.170450625,0.218562132,0.372275167,0.004761591,0.318263108
1.9,1.5,G,15,1.29E-07,17935.23778,607.3014537,0.170390802,0.218887744,0.372243127,0.004761591,0.318387189
0.5,2,G,20,3.28E-08,982.8011667,451.5105403,0.134070752,0.18753099,0.365299091,0.007139423,0.332536754
0.7,2,G,20,3.28E-08,1895.834333,447.4216391,0.133638907,0.188607694,0.364990105,0.007139423,0.332499945
1,2,G,20,3.28E-08,3821.408333,446.1372825,0.133328863,0.189478267,0.364739233,0.007139423,0.332384984
1.4,2,G,20,3.28E-08,7423.406667,445.8493743,0.133113176,0.189904345,0.364549132,0.007139423,0.332272667
1.9,2,G,20,3.28E-08,13582.94833,445.662505,0.132955624,0.190105213,0.364397255,0.007139423,0.332159368
0.5,2.5,G,25,6.52E-08,772.6414667,445.761644,0.124960835,0.193524876,0.357947879,0.005856128,0.307783841
0.7,2.5,G,25,6.52E-08,1494.442267,442.1137026,0.124738225,0.193021121,0.357725441,0.005856128,0.30766832
1,2.5,G,25,6.52E-08,3019.101333,441.811875,0.124587611,0.192931841,0.357511312,0.005856128,0.307580001
1.4,2.5,G,25,6.52E-08,5872.366667,441.4335277,0.12452078,0.192683037,0.357363236,0.005856128,0.307536304
1.9,2.5,G,25,6.52E-08,10755.36,441.3448243,0.124487309,0.192527403,0.357260437,0.005856128,0.30750784
0.5,3,G,30,1.19E-07,637.1743333,655.9341272,0.142573151,0.203520046,0.352774439,0.008393544,0.345622744
0.7,3,G,30,1.19E-07,1233.886667,651.5681633,0.14201988,0.202786827,0.352592035,0.008393544,0.345392151
1,3,G,30,1.19E-07,2493.97,648.688975,0.141606977,0.202181208,0.352481934,0.008393544,0.345235264
1.4,3,G,30,1.19E-07,4854.248889,647.6897813,0.141293416,0.201651238,0.352356928,0.008393544,0.344992117
1.9,3,G,30,1.19E-07,8892.922222,646.4572022,0.141076901,0.201358648,0.352285827,0.008393544,0.344858993
0.5,0.65,G,10,1.97E-07,1397.523333,660.2841024,0.149762443,0.195192488,0.363446479,0.010600313,0.400125197
0.7,0.65,G,10,1.97E-07,2644.383333,629.8872175,0.149314697,0.194727216,0.363179065,0.010600313,0.39941931
1,0.65,G,10,1.97E-07,5291.616667,622.80045,0.149007717,0.194376543,0.362915419,0.010600313,0.398843149
1.4,0.65,G,10,1.97E-07,10247.48333,621.6244297,0.148957748,0.194131496,0.36266618,0.010600313,0.398519665
1.9,0.65,G,10,1.97E-07,18719.43333,621.7188899,0.14896223,0.1940599,0.362448717,0.010600313,0.398342231
0.5,1,G,15,4.33E-08,878.9531111,490.4273514,0.157006327,0.216330787,0.354947583,0.008241273,0.365256138
0.7,1,G,15,4.33E-08,1690.855556,482.7268064,0.155998166,0.216131624,0.354653781,0.008241273,0.364397548
1,1,G,15,4.33E-08,3404.828889,481.1048343,0.155264757,0.216406981,0.354358126,0.008241273,0.363482176
1.4,1,G,15,4.33E-08,6609.442222,480.735039,0.154766094,0.216780851,0.3541041,0.008241273,0.362686174
1.9,1,G,15,4.33E-08,12088.21556,480.6624297,0.154403012,0.217098512,0.353901375,0.008241273,0.362031055
0.5,1.3,G,20,8.60E-08,679.4500667,540.5431296,0.123505994,0.188992422,0.346441634,9.92E-07,0.378981062
0.7,1.3,G,20,8.60E-08,1313.057833,536.7837901,0.122977557,0.189542573,0.346477464,6.93E-07,0.378718694
1,1.3,G,20,8.60E-08,2649.9765,535.181664,0.122530722,0.190180084,0.346461676,1.46E-06,0.378086095
1.4,1.3,G,20,8.60E-08,5153.207,534.4522741,0.122227414,0.190709077,0.346400443,3.25E-06,0.377253308
1.9,1.3,G,20,8.60E-08,9436.988333,534.0179501,0.122073732,0.191096335,0.3463218,6.26E-06,0.376401591
0.5,1.6,G,25,1.53E-07,519.9042667,426.621912,0.142376449,0.155381399,0.354552642,0.010005466,0.368600666
0.7,1.6,G,25,1.53E-07,1007.598933,424.0665743,0.141980572,0.155246794,0.35443986,0.010005466,0.366100624
1,1.6,G,25,1.53E-07,2036.9764,422.551755,0.141807112,0.155405904,0.35433378,0.010005466,0.363694042
1.4,1.6,G,25,1.53E-07,3965.326667,421.6839085,0.141764349,0.155750321,0.354274521,0.010005466,0.361626452
1.9,1.6,G,25,1.53E-07,7267.533333,421.2131652,0.141773281,0.156161426,0.354218667,0.010005466,0.360009468
0.5,2,G,30,2.41E-07,415.7992222,450.990144,0.139529185,0.213630585,0.345921574,0.007037775,0.304930604
0.7,2,G,30,2.41E-07,805.3523333,447.7898729,0.139355577,0.21391357,0.345838613,0.007037775,0.305226574
1,2,G,30,2.41E-07,1628.255111,446.203692,0.139281686,0.214031803,0.345766835,0.007037775,0.305418822
1.4,2,G,30,2.41E-07,3169.44,445.3523659,0.139253247,0.214144655,0.345705519,0.007037775,0.305522487
1.9,2,G,30,2.41E-07,5807.575556,444.6077154,0.139237574,0.214318634,0.345657927,0.007037775,0.305582956
0.5,3.5,KEL,10,1.80E-08,1878.566667,1131.949088,0.134697684,0.135708061,0.394290267,4.21E-07,0.310906328
0.7,3.5,KEL,10,1.80E-08,3484.3,1022.978338,0.133499723,0.132013216,0.397204692,4.59E-07,0.313544215
1,3.5,KEL,10,1.80E-08,6862.753333,976.29658,0.132343831,0.131080401,0.398112396,1.16E-06,0.314799712
1.4,3.5,KEL,10,1.80E-08,13169.13,959.6289067,0.131574814,0.133201088,0.398371589,2.51E-06,0.31524929
1.9,3.5,KEL,10,1.80E-08,23920.33333,953.4360986,0.131085459,0.134641117,0.39843052,4.78E-06,0.315467673
0.5,5.3,KEL,15,2.73E-08,1321.447044,1328.182402,0.133097156,0.198583283,0.395662821,6.24E-07,0.273946207
0.7,5.3,KEL,15,2.73E-08,2527.460444,1308.662543,0.131107742,0.191580617,0.400017738,3.84E-07,0.278390016
1,5.3,KEL,15,2.73E-08,5065.722222,1297.736154,0.129563009,0.18465301,0.401631483,7.00E-07,0.280906643
1.4,5.3,KEL,15,2.73E-08,9804.8,1292.969437,0.128519374,0.179993676,0.402160655,1.63E-06,0.282081653
1.9,5.3,KEL,15,2.73E-08,17888.28444,1288.336118,0.127863897,0.17743636,0.402329732,3.21E-06,0.282746273
0.5,7,KEL,20,3.35E-08,906.5365,1728.079373,0.169022097,0.186776771,0.383458571,7.06E-07,0.250457292
0.7,7,KEL,20,3.35E-08,1744.091667,1726.434157,0.1649448,0.185919583,0.386647675,5.03E-07,0.254770842
1,7,KEL,20,3.35E-08,3509.565,1726.818984,0.161061251,0.18232417,0.387287404,8.08E-07,0.25721469
1.4,7,KEL,20,3.35E-08,6806.776667,1726.119551,0.158929608,0.180167874,0.386434719,1.79E-06,0.257777409
1.9,7,KEL,20,3.35E-08,12439.82167,1725.17553,0.157995663,0.179361602,0.385900413,3.49E-06,0.257973523
0.5,8.8,KEL,25,3.68E-08,678.1350667,1574.896704,0.158372514,0.20162223,0.351072055,6.03E-07,0.24083334
0.7,8.8,KEL,25,3.68E-08,1308.645333,1569.532583,0.158039523,0.201062197,0.355652012,4.57E-07,0.245201819
1,8.8,KEL,25,3.68E-08,2635.494667,1567.20477,0.155948905,0.19706136,0.357891231,8.46E-07,0.24800261
1.4,8.8,KEL,25,3.68E-08,5111.866667,1565.25363,0.153724169,0.196447972,0.357540732,1.84E-06,0.248315633
1.9,8.8,KEL,25,3.68E-08,9342.213333,1562.982811,0.152251843,0.196268814,0.356832244,3.52E-06,0.247710436
0.5,10.6,KEL,30,4.15E-08,596.9988889,870.863264,0.114940861,0.475917447,0.374965293,3.36E-07,0.326865463
0.7,10.6,KEL,30,4.15E-08,1158.414444,849.7716152,0.113879837,0.488508434,0.375335164,5.15E-07,0.327545315
1,10.6,KEL,30,4.15E-08,2343.482222,842.909376,0.113215814,0.486691965,0.375556968,1.49E-06,0.327882695
1.4,10.6,KEL,30,4.15E-08,4562.187778,839.9847522,0.112763304,0.476884354,0.375804717,3.25E-06,0.328039911
1.9,10.6,KEL,30,4.15E-08,8359.222222,838.2166147,0.112446216,0.464641659,0.375970742,6.18E-06,0.328124193
0.5,3,KEL,10,5.80E-08,1023.019333,901.4390592,0.122240645,0.16422781,0.400754468,7.02E-07,0.271290765
0.7,3,KEL,10,5.80E-08,1851.3,788.0883359,0.121639681,0.163178413,0.402668856,4.51E-07,0.273586708
1,3,KEL,10,5.80E-08,3598.383333,739.946604,0.121206202,0.159891095,0.403446211,4.09E-07,0.274763753
1.4,3,KEL,10,5.80E-08,6871.736667,726.4730871,0.120964218,0.157217571,0.403831042,8.93E-07,0.275523242
1.9,3,KEL,10,5.80E-08,12460.06667,722.6546466,0.120823431,0.155536265,0.403991412,1.82E-06,0.276024429
0.5,4.5,KEL,15,6.61E-08,615.8688889,491.2262392,0.124181358,0.163912173,0.387573981,6.95E-07,0.253766274
0.7,4.5,KEL,15,6.61E-08,1149.755556,444.3866793,0.121286383,0.164071801,0.389400181,5.04E-07,0.256122399
1,4.5,KEL,15,6.61E-08,2273.513333,425.0347675,0.118866258,0.161451709,0.389524502,8.58E-07,0.257111366
1.4,4.5,KEL,15,6.61E-08,4367.022222,417.0576567,0.117571384,0.158341248,0.388927893,1.85E-06,0.257073634
1.9,4.5,KEL,15,6.61E-08,7935.466667,413.4993366,0.11651535,0.157319736,0.388623471,3.55E-06,0.25711838
0.5,6,KEL,20,1.18E-07,452.6685,929.679592,0.154134137,0.165873156,0.30324763,7.35E-07,0.276747136
0.7,6,KEL,20,1.18E-07,857.7483333,901.9439096,0.151249344,0.165995879,0.302995672,5.19E-07,0.276646671
1,6,KEL,20,1.18E-07,1708.655,888.868574,0.147904458,0.169657089,0.302016678,6.36E-07,0.276366195
1.4,6,KEL,20,1.18E-07,3291.318333,880.1339978,0.145844182,0.176276633,0.300904251,1.33E-06,0.275592579
1.9,6,KEL,20,1.18E-07,5984.066667,874.0332716,0.14481807,0.182318284,0.300441415,2.59E-06,0.27531974
0.5,7.5,KEL,25,7.38E-08,380.5953333,979.9987456,0.110123352,0.126619732,0.36373076,3.09E-07,0.31927627
